id,handle,followers_count,friends_count,isProxy
0,"derfreitag",145111,9476,0
1,"modekoerper",14804,1480,0
2,"teresabuecker",101252,2460,0
3,"Afelia",269891,809,0
4,"csdstuttgart",2331,128,0
5,"StZ_NEWS",139070,1030,0
6,"cem_oezdemir",363042,1434,0
7,"bpb_de",58062,45,0
8,"kuebra",36643,1395,0
9,"MiGAZIN",10915,596,0
10,"SWRAktuellBW",85776,818,0
11,"HasnainKazim",90555,971,0
12,"BlumeEvolution",26823,19905,0
13,"jagodamarinic",37307,1545,0
14,"DTFStuttgart",841,240,0
15,"AmadeuAntonio",64253,2667,0
16,"Natascha_Strobl",175633,6524,0
17,"Missy_Magazine",26596,647,0
18,"tran_vominhthu",19355,2903,0
19,"textautomat",19219,1390,0
20,"carolinkebekus",354125,672,0
21,"hatice_akyun",33874,2327,0
22,"ndaktuell",56400,1016,0
23,"sjrstuttgart",590,485,0
24,"enjoy_stuttgart",8286,481,0
25,"marga_owski",191294,1523,0
26,"stuttgart_stadt",38265,223,0
27,"AOC",13495116,3938,0
28,"gsofuoglu",1605,390,0
29,"Hatice_Ince_",13099,1981,0
30,"markuspreiss",36994,1952,0
31,"sibelschick",44538,1625,0
32,"DOMiD_Migration",2003,846,0
33,"Muhterem_Aras",5457,833,0
34,"mannelucha",2132,139,0
35,"SWRpresse",16878,250,0
36,"AuswaertigesAmt",888673,1168,0
37,"samelou",62530,1924,0
38,"rubenmcloop",43467,5145,0
39,"RegierungBW",94622,1295,0
40,"KarambaDiaby",54941,1359,0
41,"MalcolmOhanwe",37571,835,0
42,"stuggitv",3736,696,0
43,"sintiundromaDE",4311,256,0
44,"kattascha",90587,4058,0
45,"ISDBund",19241,2501,0
46,"schwarzblond",37588,2202,0
47,"AminataBelli",9796,297,0
48,"AlmutSchnerring",10218,1301,0
49,"StZ_Stadtkind",4123,170,0
50,"Tarek_Bae",11247,777,0
51,"AnnaDushime",46867,2481,0
52,"FerdaAtaman",39688,3849,0
53,"_vanessavu",30950,1275,0
54,"IdilBaydar",2930,17,0
55,"Dudenverlag",39350,2630,0
56,"BMI_Bund",185177,573,0
57,"pinkstinksde",20134,718,0
58,"nhile_de",27659,1719,0
59,"sarahas_san",20740,2402,0
60,"HadijaHaruna",12820,1370,0
61,"aurelmertz",155619,763,0
62,"LaVieVagabonde",57786,796,0
63,"MDIntegration",8316,1411,0
64,"xoxohadnet",5439,287,0
65,"_nasir_ahmad_",20204,465,0
66,"BAMF_Dialog",61571,782,0
67,"maithi_nk",453645,1087,0
68,"dunjahayali",552241,708,0
69,"LiteraturhausSt",392,13,0
70,"LamyaKaddor",8440,513,0
71,"Besser_Deniz",135728,2701,0
72,"C_Emcke",63733,1836,0
73,"KorinnaHennig",16395,425,0
74,"pia_lamberty",55799,3446,0
75,"mesale_tolu",12405,1063,0
76,"NDMedienmacher",17268,1432,0
77,"tgbw_bwtt",207,66,0
78,"forum3stuttgart",1414,2970,0
79,"Verein_MH",2040,1030,0
80,"DuezenTekkal",44658,7054,0
81,"enissaamani",42315,570,0
82,"risklayer",55735,254,0
83,"ardenthistorian",92062,4891,0
84,"ADS_Bund",15444,896,0
85,"gebkitastg",4,0,0
86,"LuigiPantisano",2849,1535,0
87,"aktivistmuss",27589,2527,0
88,"NDOrgs",6071,775,0
89,"LadyBitchRay1",50494,997,0
90,"stephanpalagan",124877,1481,0
91,"VerenaStroebele",20,615,0
92,"Unteilbar_",23833,2239,0
93,"_aylinkarabulut",16585,794,0
94,"MelinaBorcak",41054,687,0
95,"stadtisten",133,146,0
96,"browserballett",30061,98,0
97,"splitternackt_",9488,508,0
98,"LibanFa",9642,1349,0
99,"frauasha",32235,1125,0
100,"derya_tn",26089,2696,0
101,"WieVieleBPoC",1924,57,0
102,"moveGLOBAL_eV",78,265,0
103,"kasslerkind",7119,2200,0
104,"BaydarIdil",2642,61,0
105,"AlexPetrovnia",33551,5504,0
106,"JA_Allmendinger",24114,377,0
107,"GianniJovanovic",1849,15,0
108,"ZfKT_BW",475,293,0
109,"KM_BW",18591,488,0
110,"ebonyplusirony",136518,1594,0
111,"TanjaSagt",10052,456,0
112,"oezgeinan",71130,859,0
113,"equalcareday",1674,582,0
114,"MelisaErkurt",29454,173,0
115,"aminajxx",79488,2044,0
116,"SharonDoduaOtoo",12430,1591,0
117,"MSI_BW",9093,757,0
118,"alena_buyx",32166,628,0
119,"feuerundbrot",5683,656,0
120,"PresseratDE",7106,245,0
121,"oekofuzzi",11607,867,0
122,"SawsanChebli",117488,1185,0
123,"Volksverpetzer",345695,787,0
124,"klischee_frei",2274,1213,0
125,"kurtsarbeit",26165,936,0
126,"rice_and_shine",8905,333,0
127,"BrinkmannLab",145851,679,0